"dg-description","dg-ndc","dg-strength","dg-search-code","dg-supplier-code","dg-description-generic","dg-dispensing-units","dg-dea-class","dg-pkg-size-units","dg-standard-qty","dg-lot-nbr","dg-price(1)","dg-price(2)","dg-price(3)","dg-price(4)","dg-price(5)","dg-price(6)","dg-price(7)","dg-price(8)","dg-price(9)","dg-acquis-percent-of-awp","dg-fee-schedule","dg-tax-schedule","dg-compound-code","dg-drug-type-override","dg-hot-list-code","dg-unit-dose-code","dg-exception-price-percent","dg-exception-drug-y-n","dg-exception-prorate-y-n","dg-special-price-y-n","dg-external-use-y-n","dg-generic-y-n","dg-jobber-y-n","dg-maintenance-y-n","dg-inactive-code","dg-pkg-insert-y-n","dg-price-poster-qty","dg-state-code","dg-state-generic-y-n","dg-alt-product-code","dg-alt-product-type","dg-generic-ind","dg-generic-price-ind","dg-3pty-conv-factor","dg-comments","dg-date-last-change","dg-orange-book-code-fdb","dg-days-till-expires","dg-nbr-disp-pkgs","dg-message-nbr","dg-pkg-size-dec-metric","dg-obsolete-date","dg-ndc-new","dg-ndc-prev","dg-drug-form-code","dg-location-id","dg-location-device-id","dg-monitor-refills-y-n","dg-insulin-syringe","dg-non-insulin-syringe","dg-injectable-non-insulin","dg-otc","dg-state-restricted","dg-fertility","dg-vitamin","dg-desi-drug","dg-cosmetic-indications","dg-aids-related-drug","dg-smoking-deterrent","dg-fluoride","dg-ostomy-supplies","dg-topical-contraceptive","dg-misc-diabetic-supplies","dg-needle","dg-laxative","dg-insulin","dg-hematinic","dg-antacid","dg-diagnostic","dg-antiobesity-drug","dg-oral-contraceptive","dg-anti-anexiety-agent","dg-orange-book-code","dg-generic-code-seq-nbr","dg-preferred-product-code","dg-fdb-hic3-code","dg-skip-generic-disp-y-n","dg-nbr-of-doses-in-container","dg-date-last-update","dg-new-drug-y-n","dg-date-record-added","dg-time-record-added","dg-date-last-dispensed","dg-price-date-last-update(1)","dg-price-date-last-update(2)","dg-price-date-last-update(3)","dg-price-date-last-update(4)","dg-price-date-last-update(5)","dg-price-date-last-update(6)","dg-price-date-last-update(7)","dg-price-date-last-update(8)","dg-price-date-last-update(9)","dg-maintain-inventory-y-n","dg-maintain-0-on-hand-qty","dg-qty-on-hand-desired","dg-qty-on-hand","dg-qty-on-order","dg-qty-reorder","dg-reorder-point","dg-reorder-method-code","dg-meth2-min-days-sup","dg-meth2-max-days-sup","dg-meth2-min-reorder-qty","dg-meth2-max-reorder-qty","dg-date-ordered","dg-purchase-order-nbr","dg-inv-adj-percent","dg-inv-buffer-qty","dg-adjust-reorder-point","dg-inv-months-back","dg-inv-months-forward","dg-monthly-qty(1)","dg-monthly-qty(2)","dg-monthly-qty(3)","dg-monthly-qty(4)","dg-monthly-qty(5)","dg-monthly-qty(6)","dg-monthly-qty(7)","dg-monthly-qty(8)","dg-monthly-qty(9)","dg-monthly-qty(10)","dg-monthly-qty(11)","dg-monthly-qty(12)","dg-monthly-qty(13)","dg-monthly-rxs(1)","dg-monthly-rxs(2)","dg-monthly-rxs(3)","dg-monthly-rxs(4)","dg-monthly-rxs(5)","dg-monthly-rxs(6)","dg-monthly-rxs(7)","dg-monthly-rxs(8)","dg-monthly-rxs(9)","dg-monthly-rxs(10)","dg-monthly-rxs(11)","dg-monthly-rxs(12)","dg-monthly-rxs(13)","dg-date-dg-usage-rolled","dg-lot-date-expires","dg-warehouse-drug-y-n","dg-manual-or-fdb-drug","dg-ndc-configuration-ind","dg-drug-of-choice-ndc","dg-dummy-warehouse-y-n","dg-supplier-of-drug","dg-generic-code-nbr","dg-sup1-pkg-size","dg-sup2-pkg-size","dg-supplier-code-2","dg-supplier-of-drug-2","dg-route-code","dg-fdb-dosage-form-desc","dg-ingredient-message","dg-automed-dispensed-y-n","dg-code1-product-y-n","dg-record-type"
"LYRICA 200 MG CAPSULE P-D","00071101768","200",,,"PREGABALIN","CA","05","00090",,,"00007.5520","00005.7504","00007.5520",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","AB",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"057804","01","H4B",,,"05032017","N","10142016","00002138",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0023051",,,,,,"CA",,,,"01"
"LYRICA 225 MG CAPSULE P-D","00071101968","225",,,"PREGABALIN","CA","05","00090",,,"00007.5520","00005.7504","00007.5520",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","AB",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"059401","01","H4B",,,"05032017","N","10142016","00002143",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0025019",,,,,,"CA",,,,"01"
"LYRICA 25 MG CAPSULE P-D","00071101268","25",,,"PREGABALIN","CA","05","00090",,,"00007.5520","00005.7504","00007.5520",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","AB",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"057799","01","H4B",,,"05032017","N","10142016","00002104",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0023039",,,,,,"CA",,,,"01"
"LYRICA 300 MG CAPSULE P-D","00071101868","300",,,"PREGABALIN","CA","05","00090",,,"00007.5520","00005.7504","00007.5520",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","ZC",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"057805","01","H4B",,,"05032017","N","10142016","00002142",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0023052",,,,,,"CA",,,,"01"
"LYRICA 50 MG CAPSULE P-D","00071101368","50",,,"PREGABALIN","CA","05","00090",,,"00007.5520","00005.7504","00007.5520",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","AB",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"057800","01","H4B",,,"05032017","N","10142016","00002111",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0023046",,,,,,"CA",,,,"01"
"LYRICA 75 MG CAPSULE P-D","00071101468","75",,,"PREGABALIN","CA","05","00090",,,"00007.5520","00005.7504","00007.5520",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","AB",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"057801","01","H4B",,,"05032017","N","10142016","00002129",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0023047",,,,,,"CA",,,,"01"
"MAGNESIUM CHELATED 27 MG TARUG","00536668001","27",,,"MAGNESIUM AMINO ACID CHELATE","TA","07","00100",,,"00000.0584","00000.0225","00000.0584",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,,,,"2","9","0001",,"01032017","ZB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"059029","01","C1H",,,"05032017","N","10152016","00000450",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0024583",,,,,,"TA",,,,"01"
"MAGNESIUM OXIDE 400 MG TABLPPI","51645078508","400",,,"MAGNESIUM OXIDE","TA","07","00120",,,,"00000.0309","00000.0309",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,,,,"1","9","0001",,"05042017","ZB",,,,"00120.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"001408","01","C1H",,,"05032017","N","10142016","00000202",,,,,,,,,,,"Y",,"000180.000",,,,"0000140","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0004091",,,,,,"TA",,,,"01"
"MAGNESIUM OXIDE 400 MG TABLRUG","00536352141","400",,,"MAGNESIUM OXIDE","TA","07","00120",,,"00000.0688","00000.0688","00000.0688",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,,,,"1","9","0001",,"10152016","ZB",,,,"00120.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"001408",,"C1H",,,"05032017","N","10152016","00000450","04222017",,,,,,,,,,"Y",,,"0000290",,,,"1",,,,,,"2000000",,,,,,"000000090","000000090",,,,,,,,,,,"000000030","0000001","0000001",,,,,,,,,,,"0000001","04222017",,,,"1",,,"01","0004091",,,,,,"TA",,,,"01"
"MAPAP 325 MG TABLET MAJ","00904198280","325",,,"ACETAMINOPHEN","TA","07","01000",,,"00000.0185","00000.0185","00000.0185",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","ZB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"004489","01","H3E",,,"05032017","N","10132016","00001520","05062017",,,,,,,,,,"Y",,"001000.000","0002729",,,"0000940","1",,,,,,"2000000",,,,,,"000000630","000000503","000000252","000000651",,,,,,,"000000692","000000090","000000380","0000003","0000006","0000003","0000005",,,,,,,"0000006","0000001","0000003","05062017",,,,"1",,,"01","0016964",,,,,,"TA",,,,"01"
"MAPAP 500 MG TABLET MAJ","00904198880","500",,,"ACETAMINOPHEN","TA","07","01000",,,"00000.0260","00000.0260","00000.0260",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","ZB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"004490","01","H3E",,,"05032017","N","10152016","00000408","05062017",,,,,,,,,,"Y",,"004000.000","0002131",,,"0000814","1",,,,,,"2000000",,,,,,"000000832","000001253","000000807","000000120",,,,,,"000000104","000001846","000000192","000000260","0000009","0000007","0000005","0000002",,,,,,"0000002","0000010","0000003","0000002","05062017",,,,"1",,,"01","0016965",,,,,,"TA",,,,"01"
"MARCAINE 0.25% VIAL HOS","00409155910","2.5",,,"BUPIVACAINE HCL/PF","ML","06","00010",,,"00000.3540","00000.3570","00000.3540",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AP",,,,"00010.0000",,,,"2",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"052193","01","H0A",,,"05032017","N","10142016","00002350","01072017",,,,,,,,,,"Y",,"000030.000","0000090",,,"0000030","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,"000000010",,,,,,,,,,,,,"0000001","01072017",,,,"1",,,"01","0019757",,,,,,"HV",,,,"01"
"MECLIZINE 12.5 MG CAPLET RUG","00536101701","12.5",,,"MECLIZINE HCL","TA","07","00100",,,"00000.0927","00000.0927","00000.0927",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,,,,"1","9","0001",,"05042017","ZA",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"004731","01","H6J",,,"05032017","N","05032017","00002354",,,,,,,,,,,"Y",,"000200.000",,,,"0000200","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0018301",,,,,,"TA",,,,"01"
"MECLIZINE 12.5 MG CAPLET RUG","00536101710","12.5",,,"MECLIZINE HCL","TA","07","01000",,,"00000.0453","00000.0453","00000.0453",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,,,,"1","9","0001",,"10152016","ZA",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"004731",,"H6J",,,"05032017","N","10142016","00000202","04182017",,,,,,,,,,"Y",,,"0001410",,"0000180","0000090","1",,,,,,"2000000",,,,,,,"000000030",,,,,,,,,,,"000000060",,"0000001",,,,,,,,,,,"0000001","04182017",,,,"1",,,"01","0018301",,,,,,"TA",,,,"01"
"MECLIZINE 25 MG TABLET AMN","65162044211","25",,,"MECLIZINE HCL","TA","06","01000",,,"00000.4013","00000.4013","00000.4013",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AA",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"004732","01","H6J",,,"05032017","N","10152016","00000438","04042017",,,,,,,,,,"Y",,"001000.000","0001000",,,"0000210","1",,,,,,"2000000",,,,,,"000000180","000000120","000000060",,,,,,,,"000000120","000000020","000000129","0000001","0000001","0000001",,,,,,,,"0000001","0000001","0000001","04042017",,,,"2",,,"01","0018302",,,,,,"TA",,,,"01"
"MEDROXYPROGESTERONE 10 MG TBRR","00555077902","10",,,"MEDROXYPROGESTERONE ACETATE","TA","06","00100",,,"00000.4914","00000.4914","00000.4914",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"003271","01","G2A",,,"05032017","N","05032017","00002347",,,,,,,,,,,"Y",,"000200.000",,,,"0000200","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0011260",,,,,,"TA",,,,"01"
"MEDROXYPROGESTERONE 10 MG TBRR","00555077904","10",,,"MEDROXYPROGESTERONE ACETATE","TA","06","00500",,,"00000.4767","00000.4767","00000.4767",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"10152016","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"003271",,"G2A",,,"05032017","N","10142016","00000203",,,,,,,,,,,"Y",,,"0000349",,"0000090","0000030","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0011260",,,,,,"TA",,,,"01"
"MEDROXYPROGESTERONE 150 MG/GRE","59762453701","150",,,"MEDROXYPROGESTERONE ACETATE","ML","06","00001",,,"00097.8500","00080.5600","00097.8500",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00001.0000",,,,"2",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"017584","01","G8C",,,"05032017","N","10142016","00000204","04222017",,,,,,,,,,"Y",,"000003.000","0000003",,,"0000003","1",,,,,"11222016","2000000",,,,,,"000000002",,"000000001",,,,,,,,,,"000000001","0000002",,"0000001",,,,,,,,,,"0000001","04222017",,,,"3",,,"01","0011251",,,,,,"HV",,,,"01"
"MEDROXYPROGESTERONE 5 MG TABRR","00555087302","5",,,"MEDROXYPROGESTERONE ACETATE","TA","06","00100",,,"00000.4725","00000.4725","00000.4725",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"003273","01","G2A",,,"05032017","N","10142016","00000203",,,,,,,,,,,"Y",,"000200.000","0000200",,,"0000200","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0011262",,,,,,"TA",,,,"01"
"MELOXICAM 15 MG TABLET CAR","61442012710","15",,,"MELOXICAM","TA","06","01000",,,"00004.2587","00004.2587","00004.2587",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"10152016","AB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"029157",,"S2B",,,"05032017","N","10152016","00000438","05062017",,,,,,,,,,"Y",,,"0000677",,,,"1",,,,,,"2000000",,,,,,"000000180","000000135","000000130","000000224",,,,,,"000000150","000000180","000000210",,"0000002","0000002","0000002","0000004",,,,,,"0000002","0000003","0000003",,"05062017",,,,"2",,,"01","0031662",,,,,,"TA",,,,"01"
"MELOXICAM 15 MG TABLET LOR","29300012510","15",,,"MELOXICAM","TA","06","01000",,,"00004.8450","00004.8450","00004.8450",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"029157","01","S2B",,,"05032017","N","10142016","00000204",,,,,,,,,,,"Y",,"000540.000",,,,"0000270","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0031662",,,,,,"TA",,,,"01"
"MELOXICAM 7.5 MG TABLET CAR","61442012610","7.5",,,"MELOXICAM","TA","06","01000",,,"00002.7853","00002.7853","00002.7853",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"029156","01","S2B",,,"05032017","N","10152016","00000438","04292017",,,,,,,,,,"Y",,"000500.000","0000642",,,"0000307","1",,,,,,"2000000",,,,,,"000000344","000000270","000000150",,,,,,,"000000060","000000300","000000150","000000210","0000004","0000003","0000002",,,,,,,"0000001","0000004","0000002","0000003","04082017",,,,"2",,,"01","0031661",,,,,,"TA",,,,"01"
"MESTINON 180 MG TIMESPAN VAL","00187301330","180",,,"PYRIDOSTIGMINE BROMIDE","TA","06","00030",,,"00030.0783","00027.5947","00030.0783",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"1","9","0001",,"11032016","AB",,,,"00030.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"004765","01","J1B",,,"05032017","N","10142016","00002144",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0018540",,,,,,"TS",,,,"01"
"METFORMIN HCL 1,000 MG TABLAUR","65862001005","1000",,,"METFORMIN HCL","TA","06","00500",,,"00001.4060","00001.4060","00001.4060",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"040974","01","C4L",,,"05032017","N","05032017","00002237",,,,,,,,,,,"Y",,"003000.000","0001500",,,"0002500","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0010857",,,,,,"TA",,,,"01"
"METFORMIN HCL 1,000 MG TABLAUR","65862001099","1000",,,"METFORMIN HCL","TA","06","01000",,,"00001.4060","00001.4060","00001.4060",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05032017","AB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"040974",,"C4L",,,"05032017","N","10142016","00000205","05062017",,,,,,,,,,"Y",,,"0000881",,,,"1",,,,,,"2000000",,,,,,"000002744","000002404","000001694","000001995",,,,,,"000001272","000001881","000001754","000000841","0000020","0000020","0000015","0000014",,,,,,"0000011","0000016","0000012","0000006","05022017",,,,"2",,,"01","0010857",,,,,,"TA",,,,"01"
"METFORMIN HCL 500 MG TABLETAUR","65862000899","500",,,"METFORMIN HCL","TA","06","01000",,,"00000.6880","00000.6880","00000.6880",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"11032016","AB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"013318",,"C4L",,,"05032017","N","10152016","00000439","02112017",,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,"000000144",,,,,,,,,,"000000540","000000420","000001006","0000002",,,,,,,,,,"0000002","0000003","0000005","02042017",,,,"2",,,"01","0010810","00001.0000",,,,,"TA",,,,"01"
"METFORMIN HCL 500 MG TABLETCAR","57664039758","500",,,"METFORMIN HCL","TA","06","01000",,,"00000.7038","00000.7038","00000.7038",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"04292017","AB",,,,"01000.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"013318",,"C4L",,,"05032017","N","10152016","00000439",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0010810",,,,,,"TA",,,,"01"
"METFORMIN HCL 500 MG TABLETHER","23155010205","500",,,"METFORMIN HCL","TA","06","00500",,,"00000.7040","00000.7040","00000.7040",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"013318","01","C4L",,,"05032017","N","10142016","00000205","05062017",,,,,,,,,,"Y",,,"0000780",,,"0001347","1",,,,,,"2000000",,,,,,,"000000380","000000480","000000180",,,,,,"000000360","000000360",,"000000180",,"0000003","0000003","0000001",,,,,,"0000002","0000002",,"0000001","05062017",,,,"2",,,"01","0010810",,,,,,"TA",,,,"01"
"METFORMIN HCL ER 500 MG TABASC","67877015905","500",,,"METFORMIN HCL","TA","06","00500",,,"00000.7746","00000.7746","00000.7746",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB1",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046754","01","C4L",,,"05032017","N","10152016","00000238","05062017",,,,,,,,,,"Y",,"002000.000","0002088",,,"0002000","1",,,,,,"2000000",,,,,,"000000628","000000824","000000870","000001840",,,,,,"000000652","000001216","000000600","000000434","0000004","0000005","0000005","0000011",,,,,,"0000003","0000007","0000003","0000003","05022017",,,,"2",,,"01","0089863",,,,,,"TI",,,,"01"
"METHIMAZOLE 10 MG TABLET SAN","00185021001","10",,,"METHIMAZOLE","TA","06","00100",,,"00000.7678","00000.7678","00000.7678",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"006674","01","P3L",,,"05032017","N","10142016","00000206","04152017",,,,,,,,,,"Y",,"000500.000","0000520",,,"0000200","1",,,,,,"2000000",,,,,,"000000136","000000060",,,,,,,,,"000000102","000000045","000000120","0000001","0000001",,,,,,,,,"0000002","0000001","0000001","04152017",,,,"1",,,"01","0026400",,,,,,"TA",,,,"01"
"METHIMAZOLE 5 MG TABLET SAN","00185020501","5",,,"METHIMAZOLE","TA","06","00100",,,"00000.4444","00000.4444","00000.4444",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"006675","01","P3L",,,"05032017","N","10142016","00000206","04152017",,,,,,,,,,"Y",,"000500.000","0000580",,,"0000200","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,"000000120",,,,,,,,,,,,,"0000001","04152017",,,,"1",,,"01","0026401",,,,,,"TA",,,,"01"
"METHOTREXATE 2.5 MG TABLET AV","42291059401","2.5",,,"METHOTREXATE SODIUM","TA","06","00100",,,"00003.5640","00003.5640","00003.5640",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,,,,"1","9","0001",,"10292016","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"036872",,"V1B",,,"05032017","N","10262016","00000728","12132016",,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,"000000100",,,,,,,,,,,,,"0000002","12102016",,,,"2",,,"01","0038489",,,,,,"TA",,,,"01"
"METHOTREXATE 2.5 MG TABLET MYL","00378001401","2.5",,,"METHOTREXATE SODIUM","TA","06","00100",,,"00006.2370","00006.2370","00006.2370",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"036872","01","V1B",,,"05032017","N","10152016","00000241","04292017",,,,,,,,,,"Y",,"000200.000","0000134",,,"0000080","1",,,,,,"2000000",,,,,,"000000048","000000024",,,,,,,,"000000052",,,"000000042","0000001","0000001",,,,,,,,"0000001",,,"0000001","04292017",,,,"1",,,"01","0038489",,,,,,"TA",,,,"01"
